,Unnamed: 0,tweet_id,retweeter_id,retweeter_location
859,859,1459240086554304517,247721581,None
860,860,1459240086554304517,323677398,None
862,862,1459240086554304517,178736813,India
863,863,1459240086554304517,1178358448108572672,None
866,866,1459240086554304517,1072563247369334784,None
868,868,1459240086554304517,2310309752,Sri Lanka
874,874,1459240086554304517,1112589743382913024,India
877,877,1459240086554304517,1045600055250554880,India
878,878,1459240086554304517,1456838520425828354,Tanzania
879,879,1459240086554304517,701314473328414720,Philippines
880,880,1459240086554304517,1400609762283200514,United States
881,881,1459240086554304517,342907075,None
883,883,1459240086554304517,387582927,Japan
887,887,1458501583906295813,20421868,Cameroon
888,888,1458501583906295813,1342648539575320576,None
890,890,1458501583906295813,918096933838733312,India
891,891,1458501583906295813,1420196438856851465,United States
892,892,1458501583906295813,1034572631025098754,None
895,895,1458501583906295813,1102562510756962304,None
896,896,1458501583906295813,1442565893259599877,United States
897,897,1458501583906295813,1406629316675440647,None
900,900,1458501583906295813,838837648198414338,Zimbabwe
901,901,1458501583906295813,1445131045595189254,Algeria
902,902,1458501583906295813,1459878881922633730,United States
903,903,1458501583906295813,1442580373678874632,Chile
904,904,1458501583906295813,1428174983298117632,None
905,905,1458501583906295813,100716872,India
909,909,1458501583906295813,1284349209341128705,United States
911,911,1458501583906295813,342907075,None
913,913,1458501583906295813,592966332,None
914,914,1458501583906295813,306930296,Canada
915,915,1458501583906295813,497021784,Ghana
916,916,1458501583906295813,1204495415149813760,Tanzania
918,918,1458501583906295813,1352408177208401922,United States
922,922,1458501583906295813,148405713,India
923,923,1458501583906295813,1459007613333504002,India
924,924,1458501583906295813,799531411,United States
926,926,1458501583906295813,1450646752655286275,United States
927,927,1458501583906295813,1458455707980746760,India
928,928,1458501583906295813,843999904598974465,None
929,929,1458501583906295813,1364007687676067841,Japan
931,931,1458501583906295813,2987974376,India
933,933,1458501583906295813,214136788,United States
935,935,1458501583906295813,1152355967901884416,United States
936,936,1458501583906295813,258991151,Brazil
938,938,1458501583906295813,2373601517,None
939,939,1458501583906295813,3001202519,Mali
941,941,1458501583906295813,870518390342811649,India
946,946,1458501583906295813,1452075904004464644,Haiti
947,947,1458501583906295813,1455856238382628865,France
948,948,1458501583906295813,996969382910754816,None
949,949,1458501583906295813,1152090859904458753,India
950,950,1458501583906295813,1260473721543954434,Tanzania
951,951,1458501583906295813,930068077013848064,United Kingdom
953,953,1458501583906295813,1458752672430010372,United States
954,954,1458501583906295813,3094232313,None
959,959,1458501583906295813,1039764600592523264,Switzerland
962,962,1458501583906295813,1450504882952327169,United States
966,966,1458501583906295813,1221672282860478464,Germany
967,967,1458501583906295813,323677398,None
968,968,1458501583906295813,1455104290368884743,France
970,970,1458501583906295813,208131218,None
973,973,1458501583906295813,1150348362048143360,India
