,tweet_id,retweeter_id,retweeter_location
339,1460734002264883205,1253436248678699008,"Sawtry, England"
340,1460734002264883205,993625121834205184,Global
341,1460734002264883205,149300800,San Francisco
342,1460734002264883205,1457995041381797896,
343,1460734002264883205,1455128301350096897,"Bengaluru, India"
344,1460734002264883205,1458379325174992897,
345,1460734002264883205,1457563907690749953,"Charleroi, Belgique"
346,1460734002264883205,1452468951997292549,
347,1460734002264883205,323677398,"Trivandrum, India 🇮🇳"
348,1460734002264883205,4405884976,
349,1460734002264883205,1460174366424006656,Malaysia
350,1460734002264883205,1039074418188668928,"Tirupati, India"
351,1460734002264883205,1420296350852395011,
352,1460734002264883205,1417106674679123976,Pakistan
353,1460734002264883205,1034572631025098754,El Mundo
354,1460734002264883205,38105260,"Melbourne, Victoria"
355,1460734002264883205,1406290116419719177,
356,1460734002264883205,178736813,"Mulki, Mangalore"
357,1460734002264883205,1452806174399766529,
358,1460734002264883205,6736572,"Newcastle, NSW, Australia"
359,1460734002264883205,1223502466358108161,"Hyderabad, India"
360,1460734002264883205,277262146,"San Luis Obispo, CA"
361,1460734002264883205,831386988922142721,India
362,1460734002264883205,1255903598455558146,
363,1460734002264883205,1307598418802388992,Brain Cybernetics
364,1460734002264883205,1382798524958478340,"Chon Buri, Thailand"
365,1460734002264883205,963057408,Libya
366,1460734002264883205,196707379,paradise
367,1460734002264883205,1460791398299439104,
368,1460734002264883205,826695811127971840,"Chennai, India"
369,1460317599875534848,861629679886880768,"Dallas, TX"
370,1460317599875534848,1013181691005894666,"Alabama, USA"
371,1460317599875534848,1205842090321731584,"Accra, Ghana"
372,1460317599875534848,1113159183946452993,
373,1460317599875534848,1459814810045284354,
374,1460317599875534848,1461301498244177924,
375,1460317599875534848,1461259596211924995,adana 
376,1460317599875534848,1342648539575320576,velala
377,1460317599875534848,1456474259178459139,
378,1460317599875534848,1441582893390655493,
379,1460317599875534848,501117309,Seattle
380,1460317599875534848,1460290289625493505,
381,1460317599875534848,3402520873,日本
382,1460317599875534848,918096933838733312,"Bengaluru, India"
383,1460317599875534848,1367410222264942592,
384,1460317599875534848,1361913743500697600,
385,1460317599875534848,1445738753956323333,
386,1460317599875534848,1459489790601031680,
387,1460317599875534848,1034572631025098754,El Mundo
388,1460317599875534848,1459746633743167488,
389,1460317599875534848,1067453277502140416,Cyberspace
390,1460317599875534848,1365173407415898113,"Kota Parepare, Sulawesi Selata"
391,1460317599875534848,1437007298,United States
392,1460317599875534848,922249838330126337,"Washington, USA"
393,1460317599875534848,582223009,"Seattle, WA"
394,1460317599875534848,1460253894777327625,
395,1460317599875534848,1345651577802002437,"Kolkata, India"
396,1460317599875534848,1459893317785817088,New York
397,1460317599875534848,277262146,"San Luis Obispo, CA"
398,1460317599875534848,914950225185460224,India
399,1460317599875534848,1460261964194758658,
400,1460317599875534848,1341807515772792834,"Omaha, NE"
401,1460317599875534848,1417106674679123976,Pakistan
402,1460317599875534848,194961673,"Atlanta, GA"
403,1460317599875534848,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
404,1460317599875534848,1460552793295835137,
405,1460317599875534848,1431143837255176197,
406,1460317599875534848,1244171288530345984,
407,1460317599875534848,3001202519,Kayes Mali
408,1460317599875534848,1456603631617146880,
409,1460317599875534848,831386988922142721,India
410,1460317599875534848,1456010480514998285,
411,1460317599875534848,1409534340048977925,
412,1460317599875534848,323677398,"Trivandrum, India 🇮🇳"
413,1460317599875534848,2834649107,"Rodos, Greece"
414,1460317599875534848,1456006274110394370,
415,1460317599875534848,1404681521097740291,
416,1460317599875534848,713921676610781184,"Dammam, Kingdom of Saudi Arabia"
417,1460317599875534848,1445723757490933760,
418,1460317599875534848,314753131,"Seattle, WA"
419,1460317599875534848,1334443345733537792,
420,1460317599875534848,1335455310060937216,देवली-टोक (राजस्थान)
421,1460317599875534848,1458355533526618113,
422,1460317599875534848,1423865600158277637,
423,1460317599875534848,1434562228871737344,
424,1460317599875534848,1260147703687700480,
425,1460317599875534848,1336563570931167232,
426,1460317599875534848,387582927,Japan
427,1460317599875534848,1098095396,
428,1460317599875534848,282280747,"Seattle, WA"
429,1460317599875534848,82350646,"Porto, Portugal"
430,1460317599875534848,1205558443144138757,"Gorakhpur, India"
431,1460317599875534848,1384672674744504321,
432,1460317599875534848,148405713,"Kolkata, India"
433,1460317599875534848,3094232313,Italia
434,1460317599875534848,695375397114896384,Ghana
435,1460317599875534848,701314473328414720,Philippines 🇵🇭
436,1460317599875534848,1440714238138355723,
437,1460317599875534848,771284286989217796,allagadda
438,1460317599875534848,38105260,"Melbourne, Victoria"
439,1460317599875534848,1442565893259599877,"Rock City, Arkansas"
440,1460317599875534848,771241255690903552,
441,1460317599875534848,1456400221445967877,
442,1460317599875534848,1459255994991661064,
443,1460317599875534848,1159399786706956288,
444,1460317599875534848,1088810262625468416,
445,1460317599875534848,1726198362,
446,1460317599875534848,1286991854047834113,
447,1460317599875534848,3136367280,Dubai/Muscat/Lahore
448,1460317599875534848,27979261,San Francisco Bay Area
449,1460317599875534848,1375406750749188097,United States
450,1460317599875534848,385023518,ZUHAUSE
451,1460317599875534848,254446436,tokyo
452,1460317599875534848,1445478572521504774,"Orlando, FL"
453,1460317599875534848,902043561000034304,Delhi 
454,1460317599875534848,1260654032,"Kitchener, Ontario, Canada"
455,1460317599875534848,15497928,SF - DC - CHI - ATL
456,1460317599875534848,1406290116419719177,
457,1460317599875534848,430312876,"Houston/Pearland, Texas"
458,1460317599875534848,176055192,"London, England"
459,1460317599875534848,957808962983755776,
460,1460317599875534848,1182258156170293249,Riyadh
461,1459937906525556739,861629679886880768,"Dallas, TX"
462,1459937906525556739,1462152851141103634,
463,1459937906525556739,4837155879,
464,1459937906525556739,1381852797277253632,
465,1459937906525556739,1381864463373008901,
466,1459937906525556739,1342648539575320576,velala
467,1459937906525556739,1441582893390655493,
468,1459937906525556739,1450895297161285633,United States
469,1459937906525556739,1012692323669405696,
470,1459937906525556739,918096933838733312,"Bengaluru, India"
471,1459937906525556739,1034572631025098754,El Mundo
472,1459937906525556739,922249838330126337,"Washington, USA"
473,1459937906525556739,1459893317785817088,New York
474,1459937906525556739,1460261964194758658,
475,1459937906525556739,1459104198742712334,
476,1459937906525556739,1428535907578040320,
477,1459937906525556739,1087718267601338368,"Dhaka, Bangladesh"
478,1459937906525556739,171180701,
479,1459937906525556739,1427286386479144965,Islas Caimán.
480,1459937906525556739,1292998676768587780,
481,1459937906525556739,1459489790601031680,
482,1459937906525556739,1457591637324931075,United States
483,1459937906525556739,847693263502950404,
484,1459937906525556739,1409329636954148869,"Surrey, British Columbia"
485,1459937906525556739,1284950899111198720,USA Russia UK London  Germany
486,1459937906525556739,771284286989217796,allagadda
487,1459937906525556739,1442565893259599877,"Rock City, Arkansas"
488,1459937906525556739,254577814,ሞስኮ
489,1459937906525556739,1255903598455558146,
490,1459937906525556739,4212582497,"Las Vegas, NV"
491,1459937906525556739,1436418878066860040,
492,1459937906525556739,3094232313,Italia
493,1459937906525556739,1228944461129904129,
494,1459937906525556739,768731225271959552,
495,1459937906525556739,1455991988755607555,
496,1459937906525556739,1433817097667219461,
497,1459937906525556739,1433421363394629634,
498,1459937906525556739,1459787657974665217,
499,1459937906525556739,323677398,"Trivandrum, India 🇮🇳"
500,1459937906525556739,1186716045094117378,"Nordrhein-Westfalen, Deutschla"
501,1459937906525556739,1417106674679123976,Pakistan
502,1459937906525556739,1460109911602659328,
503,1459937906525556739,970944478205939712,India
504,1459937906525556739,196707379,paradise
505,1459937906525556739,149300800,San Francisco
506,1459937906525556739,1400003232,
507,1459937906525556739,1085366414788227072,
508,1459937906525556739,1411714253568970765,
509,1459937906525556739,1455027873585184769,
510,1459937906525556739,1451128948637663232,
511,1459937906525556739,1159958966153015296,
512,1459937906525556739,1459476170244694020,
513,1459937906525556739,1459669336516444165,
514,1459937906525556739,2741170557,
515,1459937906525556739,1094297482706616320,
516,1459937906525556739,2743810270,
517,1459937906525556739,901169035,Vancouver_Canada
518,1459937906525556739,610297975,
519,1459937906525556739,3036891512,"Chennai, India"
520,1459937906525556739,1455168569071869953,TX
