tweet_id,retweeter_id,retweeter_location
1461380998743015425,321338593,Hyderabad
1461380998743015425,258788589,
1461380998743015425,12545942,
1461380998743015425,1368934959763894279,"Accra, Ghana"
1461380998743015425,3094232313,Italia
1461380998743015425,2784368676,
1461380998743015425,1454291036075819012,
1461380998743015425,1457563907690749953,"Charleroi, Belgique"
1461380998743015425,1417106674679123976,Pakistan
1461380998743015425,1416843351400271873,Bed 
1461380998743015425,1615109970,
1461380998743015425,1072444792003543041,
1461380998743015425,2466337027,"Melbourne, Victoria"
1461380998743015425,771241255690903552,
1461380998743015425,1404010692957675520,Entebbe
1461380998743015425,1389221151864406017,"Lombardia, Italia"
1461380998743015425,17734635,"Tallinn, Estonia"
1461380998743015425,1296478049396051968,
1461380998743015425,1067438556,
1461380998743015425,1367864986152833028,"Mumbai, India"
1461380998743015425,146096329,Quito
1461380998743015425,14051114,Italy
1461380998743015425,1120785403919732736,
1461380998743015425,412869039,indonesia
1461380998743015425,2582439872,Driver
1461380998743015425,1238984784,God's Presence
1461380998743015425,1454312788449497089,
1461108508250689537,861629679886880768,"Dallas, TX"
1461108508250689537,1458654513536012290,
1461108508250689537,1911042636,"Charlotte, NC"
1461108508250689537,1447090222198579202,
1461108508250689537,1104792411144941568,
1461108508250689537,1462046051356098564,
1461108508250689537,1461979141624905731,
1461108508250689537,1259657206628261889,"Cincinnati, OH"
1461108508250689537,4837155879,
1461108508250689537,1409329636954148869,"Surrey, British Columbia"
1461108508250689537,1461734400979259393,
1461108508250689537,1454933525669552130,"Dallas, TX"
1461108508250689537,705618630927634432,
1461108508250689537,1455874022584029197,
1461108508250689537,729186620,United States
1461108508250689537,1301057082121023489,Gopalapatnam 
1461108508250689537,163197616,Southern Ontario
1461108508250689537,82350646,"Porto, Portugal"
1461108508250689537,38105260,"Melbourne, Victoria"
1461108508250689537,1278399972216582147,
1461108508250689537,771284286989217796,allagadda
1461108508250689537,1461374751922954245,
1461108508250689537,1425487033309581314,Bristol  🇪🇺 🇬🇧
1461108508250689537,3094232313,Italia
1461108508250689537,258788589,
1461108508250689537,627037825,UK
1461108508250689537,793585473956425728,
1461108508250689537,1416843351400271873,Bed 
1461108508250689537,1034572631025098754,El Mundo
1461108508250689537,1461360059728875528,
1461108508250689537,196707379,paradise
1461108508250689537,1441455210459656204,
1461108508250689537,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
1461108508250689537,1320412055816503296,
1461108508250689537,1461344001508855811,
1461108508250689537,829731090344636417,
1461108508250689537,1785583254,World Wide
1461108508250689537,360702726,Texas
1461108508250689537,1459134607622750213,
1461108508250689537,1459131554098257926,
1461108508250689537,2897748295,"Lucknow, india"
1461108508250689537,1182258156170293249,Riyadh
1461108508250689537,99234737,Switzerland
1461108508250689537,1217175475648266241,India up
1461108508250689537,1461259596211924995,adana 
1461108508250689537,1458328238317445121,
1461108508250689537,4405884976,
1461108508250689537,149300800,San Francisco
1461108508250689537,1031803852192808960,Far East Asia
1461108508250689537,323677398,"Trivandrum, India 🇮🇳"
1461108508250689537,1420296350852395011,
1461108508250689537,1461227507647229964,Louisiana 
1461108508250689537,2919465908,India
1461108508250689537,1371119796075560966,
1461108508250689537,1391667856249561088,United States
1461108508250689537,1406290116419719177,
1461108508250689537,289894203,
1461108508250689537,695375397114896384,Ghana
1461108508250689537,978809286,
1461108508250689537,966254485575274496,"Eskişehir, Türkiye"
1461108508250689537,148405713,"Kolkata, India"
1461108508250689537,1342648539575320576,velala
1461108508250689537,1460961441411125248,
1461108508250689537,1444431536997212166,
1461108508250689537,1417106674679123976,Pakistan
1461108508250689537,3343688313,"Kampala, Uganda"
1461108508250689537,1178358448108572672,|Dubai
1461108508250689537,1383169623575580678,
1461108508250689537,277262146,"San Luis Obispo, CA"
1461108508250689537,1431951134684598276,Kabwohe Sheema
1461108508250689537,954357652141744128,"बिजनौर, भारत 🇮🇳🇮🇳 "
1461108508250689537,3912362663,
1461108508250689537,1260147703687700480,
1461108508250689537,1159958966153015296,
1461108508250689537,867736019394625536,"Gridley, CA"
1461108508250689537,3236611272,
1461108508250689537,1393835523228135425,
1461108508250689537,626830367,"Connecticut, USA"
1461108508250689537,1335455310060937216,देवली-टोक (राजस्थान)
1461108508250689537,1917215478,
1461108508250689537,387582927,Japan
1461108508250689537,1440714238138355723,
1461108508250689537,29103646,"Sarasota, FL"
1461108508250689537,1457563907690749953,"Charleroi, Belgique"
1461108508250689537,1104272413137743872,"Worcester, England"
1461108508250689537,1421049658755870723,
1461108508250689537,710552853656379392,"California, USA"
1461108508250689537,455428696,"Greensboro, NC"
1461034359582965763,861629679886880768,"Dallas, TX"
1461034359582965763,1339277494541676546,
1461034359582965763,1911042636,"Charlotte, NC"
1461034359582965763,75757108,Metaverse
1461034359582965763,3036891512,"Chennai, India"
1461034359582965763,1034572631025098754,El Mundo
1461034359582965763,1455583576884400135,
1461034359582965763,1155844896088920064,Midland Michigan
1461034359582965763,1455874022584029197,
1461034359582965763,1309939571224788992,"Delhi, India"
1461034359582965763,1113159183946452993,
1461034359582965763,82350646,"Porto, Portugal"
1461034359582965763,1240823855779848194,
1461034359582965763,771284286989217796,allagadda
1461034359582965763,1461374751922954245,
1461034359582965763,23032310,"Washington, DC"
1461034359582965763,1460866653923823621,
1461034359582965763,1108597361725456384,
1461034359582965763,22048180,Paradise Valley Arizona
1461034359582965763,1204485987339927557,
1461034359582965763,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
1461034359582965763,1320412055816503296,
1461034359582965763,612588820,Paris
1461034359582965763,729186620,United States
1461034359582965763,323677398,"Trivandrum, India 🇮🇳"
1461034359582965763,3031700017,
1461034359582965763,1461227507647229964,Louisiana 
1461034359582965763,1294142578837860352,
1461034359582965763,148405713,"Kolkata, India"
1461034359582965763,1417106674679123976,Pakistan
1461034359582965763,2522387845,
1461034359582965763,322225068,"Delhi, India"
1461034359582965763,1260147703687700480,
1461034359582965763,2572502723,
1461034359582965763,387582927,Japan
1461034359582965763,1458172977405730821,United States 
1461034359582965763,859033187309109248,
1461034359582965763,1395315831160983556,
1461034359582965763,1162667970985779201,"Rajasthan, India"
1461034359582965763,1336954518479630337,
