tweet_id,retweeter_id,retweeter_location
1459937588421136388,1409369000895602691,Vietnam
1459937588421136388,1442565893259599877,United States
1459937588421136388,23162881,Japan
1459937588421136388,1205757870727282688,India
1459937588421136388,1460219508199677952,Tanzania
1459937588421136388,148405713,India
1459937588421136388,800285150160396289,United States
1459937588421136388,1421041568811606017,India
1459937588421136388,1103199807445913601,Iraq
1459937588421136388,3343688313,Uganda
1459937588421136388,1417106674679123976,Pakistan
1459937588421136388,3384920352,United States
1459937588421136388,196707379,United States
1459937588421136388,1265868941605236740,India
1459937588421136388,1162667970985779201,India
1459937588421136388,387582927,Japan
1459937588421136388,1385260019663446021,India
1459937588421136388,738631820,Bangladesh
1459937588421136388,1261608637677568002,Bangladesh
1459937588421136388,82350646,Portugal
1459937588421136388,701314473328414720,Philippines
1459937588421136388,141594918,Japan
1459937588421136388,901169035,Canada
1459937588421136388,1377297812623388672,Cuba
1459937588421136388,1433695692036481024,South Africa
1459937588421136388,1176045030022107136,United States
1459240086554304517,1205842090321731584,Ghana
1459240086554304517,1433020752211611652,Rwanda
1459240086554304517,918096933838733312,India
1459240086554304517,922249838330126337,United States
1459240086554304517,1442565893259599877,United States
1459240086554304517,281675123,Lebanon
1459240086554304517,1325073012710764545,Lebanon
1459240086554304517,1169050010899509248,India
1459240086554304517,838837648198414338,Zimbabwe
1459240086554304517,1445131045595189254,Algeria
1459240086554304517,38105260,Australia
1459240086554304517,870518390342811649,India
1459240086554304517,937571611,India
1459240086554304517,1442580373678874632,Chile
1459240086554304517,1459806800690221058,United States
1459240086554304517,1417106674679123976,Pakistan
1459240086554304517,2250632233,Mongolia
1459240086554304517,1227650775964409857,United States
1459240086554304517,3001202519,Mali
1459240086554304517,181656772,United States
1459240086554304517,927563713774682112,India
1459240086554304517,1274599584,Belgium
1459240086554304517,949376259326398464,Venezuela
1459240086554304517,1452534036547571712,Bangladesh
1459240086554304517,695375397114896384,Ghana
1459240086554304517,1069858424123547650,Uganda
1459240086554304517,1455128301350096897,India
1459240086554304517,1258979191,Sweden
1459240086554304517,149300800,Mali
1459240086554304517,1219545832661438465,France
1459240086554304517,178736813,India
1459240086554304517,2310309752,Sri Lanka
1459240086554304517,1112589743382913024,India
1459240086554304517,1045600055250554880,India
1459240086554304517,1456838520425828354,Tanzania
1459240086554304517,701314473328414720,Philippines
1459240086554304517,1400609762283200514,United States
1459240086554304517,387582927,Japan
1458501583906295813,20421868,Cameroon
1458501583906295813,918096933838733312,India
1458501583906295813,1420196438856851465,United States
1458501583906295813,1442565893259599877,United States
1458501583906295813,838837648198414338,Zimbabwe
1458501583906295813,1445131045595189254,Algeria
1458501583906295813,1459878881922633730,United States
1458501583906295813,1442580373678874632,Chile
1458501583906295813,100716872,India
1458501583906295813,1284349209341128705,United States
1458501583906295813,306930296,Canada
1458501583906295813,497021784,Ghana
1458501583906295813,1204495415149813760,Tanzania
1458501583906295813,1352408177208401922,United States
1458501583906295813,148405713,India
1458501583906295813,1459007613333504002,India
1458501583906295813,799531411,United States
1458501583906295813,1450646752655286275,United States
1458501583906295813,1458455707980746760,India
1458501583906295813,1364007687676067841,Japan
1458501583906295813,2987974376,India
1458501583906295813,214136788,United States
1458501583906295813,1152355967901884416,United States
1458501583906295813,258991151,Brazil
1458501583906295813,3001202519,Mali
1458501583906295813,870518390342811649,India
1458501583906295813,1452075904004464644,Haiti
1458501583906295813,1455856238382628865,France
1458501583906295813,1152090859904458753,India
1458501583906295813,1260473721543954434,Tanzania
1458501583906295813,930068077013848064,United Kingdom
1458501583906295813,1458752672430010372,United States
1458501583906295813,1039764600592523264,Switzerland
1458501583906295813,1450504882952327169,United States
1458501583906295813,1221672282860478464,Germany
1458501583906295813,1455104290368884743,France
1458501583906295813,1150348362048143360,India
1458448640528183300,1433020752211611652,Rwanda
1458448640528183300,35817996,United States
1458448640528183300,1442565893259599877,United States
1458448640528183300,1445131045595189254,Algeria
1458448640528183300,1173457732579418112,Canada
1458448640528183300,497021784,Ghana
1458448640528183300,1457399158730547206,United States
1458448640528183300,1459007613333504002,India
1458448640528183300,799531411,United States
1458448640528183300,1364007687676067841,Japan
1458448640528183300,148405713,India
1458448640528183300,1152355967901884416,United States
1458448640528183300,3001202519,Mali
1458448640528183300,1458752672430010372,United States
1458448640528183300,1370412669300215814,Indonesia
1458448640528183300,1373625208871948289,Japan
1458448640528183300,701314473328414720,Philippines
1458448640528183300,1450504882952327169,United States
1458448640528183300,43065857,Canada
1458448640528183300,1417106674679123976,Pakistan
1458448640528183300,322225068,India
1458448640528183300,800285150160396289,United States
1458448640528183300,38105260,Australia
1458448640528183300,26796094,United States
1458448640528183300,776499916915048448,United States
1458448640528183300,846862187431788544,United States
1458448640528183300,387582927,Japan
1458448640528183300,1263112791570800645,Japan
1458448640528183300,1193511944159977472,Ghana
1458448640528183300,16158913,United States
1458448640528183300,168865188,United States
1458448640528183300,695375397114896384,Ghana
1458448640528183300,1286617448456704001,India
1458448640528183300,1393946680534372355,United Kingdom
1458448640528183300,877917851130118144,India
1458448640528183300,1150348362048143360,India
1458448640528183300,314753131,United States
1458448640528183300,1230318978800783360,Canada
1458448640528183300,1458201622543273984,Japan
1458448640528183300,15504380,Canada
1458196382624276490,18973033,Canada
1458196382624276490,1442565893259599877,United States
1458196382624276490,1445131045595189254,Algeria
1458196382624276490,845051167621238784,United Kingdom
1458196382624276490,1442580373678874632,Chile
1458196382624276490,1459007613333504002,India
1458196382624276490,1262802883021586432,United States
1458196382624276490,3119602786,Cyprus
1458196382624276490,1152355967901884416,United States
1458196382624276490,16420491,United States
1458196382624276490,1458808317275430930,Turkey
1458196382624276490,1450504882952327169,United States
1458196382624276490,536152438,India
1458196382624276490,249704264,United States
1458196382624276490,1365173407415898113,Indonesia
1458196382624276490,293639193,India
1458196382624276490,3400276632,Germany
1458196382624276490,14655300,Germany
1458196382624276490,992390491105882112,France
1458196382624276490,174414341,Somalia
1458196382624276490,1221672282860478464,Germany
1458196382624276490,16956532,United States
1458196382624276490,1431143924458872834,India
1458196382624276490,2897748295,India
1458196382624276490,149300800,Mali
1458196382624276490,1123093142733910016,Japan
1458196382624276490,1399191356992593922,Saudi Arabia
1458196382624276490,1103199807445913601,Iraq
1458196382624276490,250719728,Italy
1458196382624276490,1457563907690749953,United States
1458196382624276490,148405713,India
1458196382624276490,734968627292700672,Ghana
1458196382624276490,1150348362048143360,India
1458196382624276490,898315108589256704,India
1458196382624276490,41028096,India
1458196382624276490,324309011,India
1458196382624276490,3343688313,Uganda
1458196382624276490,1417106674679123976,Pakistan
1458196382624276490,23162881,Japan
1458196382624276490,1457266812656119810,India
1458196382624276490,101780826,Japan
1458196382624276490,4373324892,India
1458196382624276490,387582927,Japan
1458196382624276490,1294107344247242754,India
1458196382624276490,927398580662312960,India
1458196382624276490,1362125810539266048,United States
1458196382624276490,1306360499710373889,United Kingdom
1458196382624276490,1458204606677516288,Japan
1458132018135322627,918110822089576450,Greece
1458132018135322627,554332042,United States
1458132018135322627,231339030,Canada
1458132018135322627,1040709530211024896,Algeria
1458132018135322627,369908962,Mexico
1458132018135322627,1442565893259599877,United States
1458132018135322627,708475345566081027,Colombia
1458132018135322627,138284021,Guatemala
1458132018135322627,4645193294,United States
1458132018135322627,1445131045595189254,Algeria
1458132018135322627,1442580373678874632,Chile
1458132018135322627,248379556,United States
