,created_at,id,text,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,hashtags,user_mentions
113,Mon Sep 20 17:07:28 +0000 2021,1439999665936556032,"The crew and I have been doing push-ups after each rehearsal, and everyone has been participating… or so I thought. https://t.co/dCGRYMg3r9",False,N/A,N/A,N/A,False,98,1557,N/A,N/A
114,Sat Sep 18 17:12:25 +0000 2021,1439276134365990915,Happy #NationalDanceDay! https://t.co/gHOhHyClTI,False,N/A,N/A,N/A,False,164,1832,['NationalDanceDay'],N/A
115,Sat Sep 18 01:53:37 +0000 2021,1439044909009305603,9-year-old Lilly is officially cancer-free❤️ ​​and on a mission to gather as much funding as possible for childhood… https://t.co/hXbFojXLha,True,N/A,N/A,N/A,False,137,1531,N/A,N/A
116,Fri Sep 17 21:00:26 +0000 2021,1438971126575599616,You may wanna pay attention! @LoriGreiner is revealing four things she considers when it comes to investing in inve… https://t.co/xStjbBGLg6,True,N/A,N/A,N/A,False,83,693,N/A,['LoriGreiner']
117,Fri Sep 17 17:17:39 +0000 2021,1438915064786939905,I love #TedLasso and I love @HanWaddingham https://t.co/kXct2yU1XI,False,N/A,N/A,N/A,False,132,1901,['TedLasso'],['hanwaddingham']
118,Thu Sep 16 23:54:27 +0000 2021,1438652534302773255,My audience wasn’t afraid to share their secrets. Let's just say it got very interesting... https://t.co/5j7ayYjjKt,False,N/A,N/A,N/A,False,77,932,N/A,N/A
119,Thu Sep 16 22:20:26 +0000 2021,1438628874456236033,".@KimKardashian is here to confirm that @KourtneyKardash and @TravisBarker are, in fact, always making out. https://t.co/DuutLVgpwC",False,N/A,N/A,N/A,False,102,1069,N/A,"['KimKardashian', 'kourtneykardash', 'travisbarker']"
120,Thu Sep 16 20:29:20 +0000 2021,1438600914516905996,Happy birthday @NickJonas! I’m so glad you did that Broadway show all those years ago. https://t.co/cjsH9wiZKh,False,N/A,N/A,N/A,False,133,1191,N/A,['nickjonas']
121,Thu Sep 16 18:19:21 +0000 2021,1438568204767354880,RT @KimKardashian: Tune in to Ellen today!!! @TheEllenShow https://t.co/HzF53Oazw9,False,N/A,N/A,N/A,False,450,0,N/A,"['KimKardashian', 'TheEllenShow']"
122,Thu Sep 16 17:15:46 +0000 2021,1438552201643761686,".@KimKardashian told me about @KylieJenner having another baby, and whether or not she’s planning to do the same. https://t.co/p8uIJM8tIH",False,N/A,N/A,N/A,False,76,1025,N/A,"['KimKardashian', 'KylieJenner']"
123,Thu Sep 16 15:33:08 +0000 2021,1438526373727850498,"RT @OhBubble: Alexa, can you not?! https://t.co/9mhsjWN0BL",False,N/A,N/A,N/A,False,59,0,N/A,['OhBubble']
124,Thu Sep 16 01:46:54 +0000 2021,1438318443695009792,#FamilyGameFight is on right now on @NBC! Let me know if you’re rooting for #TeamKristen or #TeamDax.,False,N/A,N/A,N/A,False,38,596,"['FamilyGameFight', 'TeamKristen', 'TeamDax']",['nbc']
125,Thu Sep 16 00:05:57 +0000 2021,1438293039131156480,Happy Hump Day! @TiffanyHaddish https://t.co/t6jzasLDbV,False,N/A,N/A,N/A,False,77,1185,N/A,['TiffanyHaddish']
126,Wed Sep 15 21:26:02 +0000 2021,1438252797107920897,Today on the show @CharliDamelio and @DixieDamelio tell me about their new reality show and why they’re opening up… https://t.co/USYlovx7bn,True,N/A,N/A,N/A,False,55,784,N/A,"['charlidamelio', 'dixiedamelio']"
127,Wed Sep 15 20:25:50 +0000 2021,1438237647315423237,Happy #HispanicHeritageMonth! We’re celebrating all month long on https://t.co/APojFeehjF with some of our favorite… https://t.co/1n2mUhdzad,True,N/A,N/A,N/A,False,54,511,['HispanicHeritageMonth'],N/A
128,Wed Sep 15 19:01:20 +0000 2021,1438216380369686528,"Happy birthday, Prince Harry. Thank you for everything you do to make the world a better place.",False,N/A,N/A,N/A,False,485,6102,N/A,N/A
129,Wed Sep 15 18:09:27 +0000 2021,1438203324554088448,"The D’Amelios and I both love @mymuseorganic, giving things away, and games! Enter the #contest here:… https://t.co/Wom2FHKKP0",True,N/A,N/A,N/A,False,289,5117,['contest'],['mymuseorganic']
130,Wed Sep 15 01:19:55 +0000 2021,1437949264047460352,@Zoom @HeadsUp I am zooming with excitement!,False,1.4378958499341435e+18,522701657.0,Zoom,False,0,12,N/A,"['Zoom', 'HeadsUp']"
131,Wed Sep 15 00:50:58 +0000 2021,1437941979719999488,"This was Jennifer Aniston’s signature in my guestbook for Season One of the show. Love you, Joan. https://t.co/aPo8v12110",False,N/A,N/A,N/A,False,383,12729,N/A,N/A
132,Tue Sep 14 23:04:20 +0000 2021,1437915143392743425,Sherrie Gahn was truly one of the most unforgettable guests we’ve ever had on our show. No way I wasn’t bringing he… https://t.co/4R6dcBh7Zi,True,N/A,N/A,N/A,False,104,1159,N/A,N/A
133,Tue Sep 14 21:00:30 +0000 2021,1437883983614734337,"During Season One of my show, I had a guestbook that all of my guests would sign. Jennifer Aniston, my first guest… https://t.co/IK2Shjgali",True,N/A,N/A,N/A,False,150,1530,N/A,N/A
134,Tue Sep 14 19:19:18 +0000 2021,1437858512076361730,"In my Season 9 premiere, I met an incredible woman named Sherrie Gahn. I’m so happy I was able to catch up with her… https://t.co/BUfyIZ3bU8",True,N/A,N/A,N/A,False,90,889,N/A,N/A
135,Tue Sep 14 17:04:24 +0000 2021,1437824564851986434,It’s here! You can now officially stream #LittleEllen on @HBOMax!  We also turned it into a BOOK that you can preor… https://t.co/JVd9eYGQkH,True,N/A,N/A,N/A,False,83,687,['LittleEllen'],['hbomax']
136,Tue Sep 14 00:54:35 +0000 2021,1437580504740466689,"I took my show on the road! 
And by road I mean a park in Burbank. https://t.co/hLh5DHqY0I",False,N/A,N/A,N/A,False,83,1151,N/A,N/A
137,Mon Sep 13 23:01:32 +0000 2021,1437552054289895424,".@JimmyKimmel surprised me with @KimKardashian, and I surprised my audience with #12DaysofGiveaways tickets! The ci… https://t.co/0sDMzdAg6i",True,N/A,N/A,N/A,False,84,1012,['12DaysofGiveaways'],"['jimmykimmel', 'KimKardashian']"
138,Mon Sep 13 20:07:30 +0000 2021,1437508257774374915,"In the end, I will forever cherish these memories with you all. #EllensFinalSeaason https://t.co/aojrRu5KoB",False,N/A,N/A,N/A,False,234,2960,['EllensFinalSeaason'],N/A
139,Mon Sep 13 19:05:02 +0000 2021,1437492535639769089,@jerseyborn111 I love you❤️,False,1.4374923257065185e+18,124913914.0,jerseyborn111,False,1,12,N/A,['jerseyborn111']
140,Mon Sep 13 17:07:46 +0000 2021,1437463026269970433,"My last first day starts now. As always, Andy is very natural on camera. https://t.co/GaMIqQqaYl",False,N/A,N/A,N/A,False,130,1911,N/A,N/A
141,Mon Sep 13 15:50:26 +0000 2021,1437443565093752841,@petervillano @jimmykimmel ❤️,False,1.4373975075673252e+18,370329111.0,petervillano,False,1,6,N/A,"['petervillano', 'jimmykimmel']"
142,Sun Sep 12 23:00:06 +0000 2021,1437189304665608192,"Tomorrow, on my last first show, my friend @JimmyKimmel surprises me with the traditional gift for 19 years.… https://t.co/XT5F6WI2nd",True,N/A,N/A,N/A,False,103,1387,N/A,['jimmykimmel']
143,Sun Sep 12 19:56:58 +0000 2021,1437143217300914177,"Kalen is giving y’all a sneak peek behind the scenes of my last premiere show❤️ @TheKalenAllen. Tune in tomorrow, 9… https://t.co/nhx1UcmdbT",True,N/A,N/A,N/A,False,83,950,N/A,['TheKalenAllen']
144,Sun Sep 12 16:40:45 +0000 2021,1437093836136730632,SEASON 19 STARTS TOMORROW! Who remembers this moment from the Season 7 Premiere in 2009 when I joined the cast of… https://t.co/kt2f1oOtOB,True,N/A,N/A,N/A,False,149,1842,N/A,N/A
145,Sat Sep 11 20:42:33 +0000 2021,1436792302203068417,We are TWO days away from the premiere of our last season! Here’s a moment from the Season 10 premiere in 2012 with… https://t.co/vyhQDqPnq1,True,N/A,N/A,N/A,False,110,1286,N/A,N/A
146,Sat Sep 11 15:46:44 +0000 2021,1436717855735570436,Sending love to New York and to all of you today❤ #NeverForget https://t.co/WhxWYTWYah,False,N/A,N/A,N/A,False,681,7534,['NeverForget'],N/A
147,Sat Sep 11 00:00:04 +0000 2021,1436479619591401472,It feels amazing to be back for the last first time. Don’t miss the full episode on Monday❤️ #EllensFinalSeason https://t.co/cOBkTaMHkS,False,N/A,N/A,N/A,False,157,1893,['EllensFinalSeason'],N/A
148,Fri Sep 10 20:37:34 +0000 2021,1436428659422744576,The first guest I ever had will be here on Tuesday and I did not expect her to be the emotional one. I love you Jen… https://t.co/2Lv4unugyH,True,N/A,N/A,N/A,False,296,3281,N/A,N/A
